iter	Passed	Remaining
0	7	3623
1	31	7929
2	34	5709
3	36	4566
4	39	3874
5	41	3431
6	46	3244
7	48	2965
8	50	2748
9	52	2578
10	54	2433
11	56	2317
12	59	2236
13	62	2154
14	64	2079
15	66	2016
16	68	1958
17	71	1903
18	72	1842
19	74	1787
20	76	1734
21	77	1685
22	79	1641
23	80	1600
24	82	1564
25	83	1530
26	85	1497
27	87	1466
28	88	1440
29	90	1414
30	91	1389
31	93	1367
32	95	1344
33	96	1324
34	98	1306
35	99	1288
36	101	1269
37	103	1253
38	104	1237
39	106	1221
40	107	1205
41	109	1191
42	110	1177
43	112	1164
44	113	1152
45	115	1140
46	117	1128
47	118	1117
48	120	1106
49	121	1096
50	123	1086
51	124	1076
52	126	1066
53	128	1057
54	129	1048
55	131	1039
56	132	1031
57	134	1023
58	135	1015
59	137	1008
60	139	1001
61	140	993
62	142	986
63	143	979
64	145	973
65	147	966
66	148	960
67	150	954
68	151	947
69	153	941
70	154	936
71	156	930
72	158	924
73	159	918
74	161	913
75	162	907
76	164	902
77	165	897
78	167	892
79	168	887
80	170	882
81	172	877
82	174	877
83	178	884
84	181	884
85	183	884
86	185	882
87	188	880
88	193	893
89	198	904
90	203	915
91	207	918
92	209	918
93	212	918
94	215	918
95	228	962
96	231	960
97	233	958
98	235	954
99	240	961
100	242	958
101	244	955
102	248	955
103	249	950
104	251	945
105	253	940
106	254	935
107	256	929
108	257	925
109	259	920
110	261	915
111	262	910
112	264	905
113	265	900
114	267	895
115	269	891
116	270	886
117	272	882
118	274	877
119	275	872
120	277	868
121	278	863
122	280	858
123	281	854
124	283	850
125	284	845
126	286	841
127	288	837
128	289	833
129	291	828
130	292	824
131	294	820
132	295	816
133	297	812
134	299	808
135	300	804
136	302	800
137	303	796
138	305	792
139	306	788
140	308	785
141	309	781
142	311	777
143	313	774
144	314	770
145	316	766
146	317	763
147	319	759
148	320	756
149	322	752
150	324	749
151	325	745
152	327	742
153	328	738
154	330	735
155	331	731
156	333	728
157	335	725
158	336	721
159	338	718
160	339	715
161	341	712
162	343	709
163	344	705
164	346	702
165	347	699
166	349	696
167	350	693
