iter	Logloss
0	0.6836573082
1	0.67522036
2	0.6675361087
3	0.6598631422
4	0.6511308724
5	0.6432935547
6	0.6366420472
7	0.6300403373
8	0.6232336071
9	0.6157283073
10	0.6094756506
11	0.6023596057
12	0.5943757754
13	0.5878942634
14	0.5814241181
15	0.5748541103
16	0.5687479456
17	0.5625247479
18	0.5574939983
19	0.5523814303
20	0.5467111792
21	0.5416317202
22	0.5366033289
23	0.5317894681
24	0.5264430135
25	0.5211160144
26	0.5149743076
27	0.5108470151
28	0.5058711137
29	0.5005934637
30	0.496363947
31	0.4925126584
32	0.4883720849
33	0.4848744865
34	0.4813154912
35	0.4780789375
36	0.4743783668
37	0.4709281386
38	0.4677435749
39	0.4647310286
40	0.4602746227
41	0.4571658282
42	0.4544428782
43	0.4509431613
44	0.4474043415
45	0.4433323495
46	0.4397351693
47	0.4360357897
48	0.4323048226
49	0.429341329
50	0.426635178
51	0.423910953
52	0.4214652185
53	0.4191608198
54	0.4168486418
55	0.4140009829
56	0.411598641
57	0.4086790353
58	0.4060304136
59	0.4029281702
60	0.3999716401
61	0.3978799264
62	0.3957599995
63	0.3932409062
64	0.3913536242
65	0.389008674
66	0.3868894387
67	0.384401123
68	0.3818369288
69	0.3799525741
70	0.3783373931
71	0.3760418224
72	0.373844718
73	0.3723670615
74	0.371074283
75	0.3689707782
76	0.3677140294
77	0.3663013922
78	0.3646897401
79	0.3628710119
80	0.3606213948
81	0.358760845
82	0.3572427454
83	0.355607655
84	0.3545631756
85	0.3526947252
86	0.3512469893
87	0.3497332079
88	0.3484202173
89	0.3464946346
90	0.3445311999
91	0.3429182248
92	0.3413228532
93	0.339845217
94	0.3386776453
95	0.3373527207
96	0.3361247026
97	0.3345558444
98	0.3330632626
99	0.3319492548
100	0.3311365554
101	0.3297232992
102	0.3284282821
103	0.3274161117
104	0.3263631619
105	0.3255140224
106	0.3241496683
107	0.3230803973
108	0.3221454849
109	0.321174925
110	0.319862292
111	0.3186925408
112	0.3178317386
113	0.3167032898
114	0.3156866153
115	0.3148202303
116	0.3135383982
117	0.3123149031
118	0.3114022895
119	0.3097935021
120	0.308689296
121	0.3075269636
122	0.3067355659
123	0.305916055
124	0.3049127941
125	0.3040799561
126	0.3034569612
127	0.3024242062
128	0.3012222725
129	0.3005771305
130	0.2998602606
131	0.2988104449
132	0.2978949429
133	0.2970070955
134	0.2964361478
135	0.2954650772
136	0.2947993255
137	0.2941087116
138	0.2931496923
139	0.2920979577
140	0.2912651434
141	0.2904740295
