iter	Passed	Remaining
0	35	35498
1	47	23680
2	56	18647
3	65	16319
4	75	15024
5	90	15060
6	106	15140
7	115	14376
8	124	13693
9	132	13116
10	143	12857
11	151	12473
12	158	12022
13	164	11554
14	169	11111
15	176	10832
16	181	10502
17	187	10207118	193	9980119	199	9752220	205	9586221	210	9366222	215	9165223	222	9029224	227	8882225	233	8743226	240	8670227	250	8695228	257	8615229	263	8509330	269	8414331	275	8343332	281	8254333	290	8245334	301	8307335	307	8237336	313	8160337	320	8101338	325	8027339	331	7950440	338	7911441	344	7849442	353	7876443	359	7807444	365	7748445	371	7713446	377	7659447	384	7629448	390	7581449	396	7534550	403	7507551	409	7458552	416	7434553	427	7484554	434	7457555	439	7414556	446	7384557	456	7410558	461	7360559	468	7340660	474	7300661	480	7264662	486	7240663	492	7203664	499	7185665	505	7151666	510	7115667	518	7100668	524	7071669	530	7052770	536	7022771	542	6996772	549	6982773	558	6986774	565	6969775	570	6940776	576	6912777	583	6893778	588	6863779	595	6844880	600	6818881	606	6793882	613	6779883	619	6756884	625	6728885	631	6716886	637	6692887	643	6673888	650	6657889	658	6659990	665	6644991	670	6621992	677	6607993	683	6586994	689	6563995	695	6552996	701	6530997	707	6512998	713	6496999	719	64781100	727	64711101	732	64521102	738	64321103	745	64231104	751	64091105	761	64261106	767	64061107	774	63951108	780	63781109	786	63591110	792	63481111	798	63311112	804	63121113	811	63041114	816	62851115	823	62751116	829	62591117	835	62431118	842	62351119	848	62191120	853	62031121	862	62071122	868	61901123	874	61801124	880	61631125	887	61551126	893	61401127	898	61231128	905	61161129	911	61011130	917	60881131	924	6079
132	930	6064
133	937	60571134	943	60421135	948	60281136	955	60181137	963	60201138	970	60091139	975	59941140	981	59791141	988	59731142	994	59591143	1000	59414144	1006	59314145	1012	59214146	1019	59114147	1025	59014148	1031	58914149	1037	58815150	1043	58615151	1050	58615152	1056	58415153	1066	58615154	1072	58415155	1078	58315156	1084	58215157	1090	58115158	1096	58015159	1102	57816160	1108	57716161	1115	57616162	1120	57516163	1126	57416164	1133	57316165	1139	57216166	1146	57116167	1151	57016168	1157	56916169	1167	57017170	1173	56817171	1180	56817172	1186	56717173	1193	56617174	1199	56517175	1204	56417176	1211	56317177	1217	56217178	1223	56117179	1229	56018180	1235	55918181	1242	55818182	1248	55718183	1253	55618184	1267	55818185	1276	55818186	1284	55818187	1291	55718188	1297	55618189	1303	55519190	1312	55519191	1322	55619192	1328	55519193	1334	55419194	1341	55319195	1347	55219196	1354	55119197	1360	55119198	1369	55119199	1376	55020200	1382	54920201	1388	54820202	1394	54720203	1400	54620204	1413	54820205	1418	54620206	1425	54520207	1430	54420208	1437	54320209	1442	54221210	1448	54121211	1454	54021212	1460	53921213	1470	54021214	1475	53821215	1481	53721216	1488	53721217	1493	53521218	1499	53421219	1506	53422220	1511	53222221	1518	53222222	1524	53122223	1529	52922224	1535	52822225	1541	52722226	1546	52622227	1553	52622228	1559	52422229	1568	52423230	1574	52423231	1580	52323232	1587	52223233	1593	52123234	1600	52023235	1606	51923236	1611	51823237	1618	51823238	1624	51723239	1631	51624240	1636	51524241	1642	51424242	1649	51324243	1655	51224244	1661	51124245	1670	51124246	1676	51024247	1683	51024248	1688	50924249	1694	50825250	1700	50725251	1706	50625252	1713	50625253	1719	50525254	1725	50425255	1732	50325256	1738	50225257	1745	50125258	1750	50025259	1756	49926260	1763	49926261	1772	49926262	1779	49826263	1784	49726264	1789	49626265	1796	49526266	1802	49426267	1809	49426268	1814	49326269	1820	49227270	1827	49127271	1833	49027272	1838	48927273	1845	48927274	1851	48827275	1858	48727276	1863	48627277	1873	48627278	1879	48527279	1885	48428280	1892	48428281	1897	48328282	1903	48228283	1910	48128284	1916	48028285	1923	48028286	1929	47928287	1935	47828288	1942	47728289	1948	47729290	1955	47629291	1961	47529292	1967	47429293	1976	47429294	1981	47329295	1988	47229296	1994	47229297	2000	47129298	2006	47029299	2012	46930300	2018	46830301	2025	46830302	2031	46730303	2037	46630304	2043	46530305	2049	46430306	2055	46430307	2061	46330308	2067	46230309	2073	46131310	2079	46031311	2085	45931312	2091	45931313	2097	45831314	2103	45731315	2109	45631316	2115	45531317	2121	45431318	2126	45431319	2132	45332320	2138	45232321	2144	45132322	2151	45032323	2157	45032324	2162	44932325	2168	44832326	2174	44732327	2180	44632328	2186	44532329	2191	44533330	2198	44433331	2204	44333332	2210	44233333	2215	44133334	2221	44133335	2227	44033336	2234	43933337	2239	43833338	2245	43733339	2251	43734340	2257	43634341	2263	43534342	2269	43434343	2275	43334344	2281	43334345	2287	43234346	2292	43134347	2298	43034348	2304	42934349	2310	42935350	2316	42835351	2322	42735352	2328	42635353	2334	42635354	2340	42535355	2347	42435356	2352	42335357	2358	42235358	2365	42235359	2371	42136360	2377	42036361	2383	42036362	2388	41936363	2395	41836364	2401	41736365	2407	41636366	2413	41636367	2419	41536368	2425	41436369	2430	41337370	2437	41337371	2442	41237372	2449	41137373	2455	41037374	2460	41037375	2466	40937376	2473	40837377	2479	40737378	2484	40737379	2490	40638380	2496	40538381	2502	40438382	2507	40438383	2513	40338384	2519	40238385	2525	40138386	2530	40038387	2537	40038388	2543	39938389	2549	39839390	2555	39839391	2561	39739392	2567	39639393	2573	39539394	2579	39539395	2585	39439396	2591	39339397	2597	39239398	2603	39239399	2609	39140400	2615	39040401	2621	38940402	2627	38940403	2632	38840404	2638	38740405	2645	38640406	2650	38640407	2656	38540408	2662	38440409	2668	38441410	2674	38341411	2681	38241412	2689	38241413	2696	38141414	2702	38041415	2708	38041416	2715	37941417	2722	37941418	2728	37841419	2734	37742420	2740	37642421	2746	37642422	2752	37542423	2758	37442424	2764	37442425	2770	37342426	2776	37242427	2792	37342428	2797	37242429	2803	37143430	2809	37043431	2815	37043432	2821	36943433	2826	36843434	2847	36943435	2853	36943436	2867	36943437	2873	36843438	2879	36743439	2884	36744440	2890	36644441	2896	36544442	2902	36444443	2908	36444444	2914	36344445	2920	36244446	2926	36244447	2932	36144448	2938	36044449	2944	35945450	2950	35945451	2956	35845452	2962	35745453	2968	35745454	2974	35645455	2980	35545456	2986	35445457	2992	35445458	2998	35345459	3004	35246460	3010	35246461	3016	35146462	3022	35046463	3028	34946464	3033	34946465	3039	34846466	3045	34746467	3050	34646468	3056	34646469	3062	34547470	3068	34447471	3074	34347472	3080	34347473	3086	34247474	3092	34147475	3098	34147476	3104	34047477	3110	33947478	3116	33847479	3123	33848480	3129	33748481	3135	33648482	3141	33648483	3146	33548484	3152	33448485	3158	33448486	3165	33348487	3171	33248488	3177	33248489	3182	33149490	3188	33049491	3194	32949492	3199	32949493	3205	32849494	3211	32749495	3217	32649496	3223	32649497	3229	32549498	3235	32449499	3241	32450500	3247	32350501	3255	32250502	3261	32250503	3267	32150504	3273	32050505	3279	32050506	3284	31950507	3290	31850508	3296	31850509	3302	31751510	3308	31651511	3314	31551512	3320	31551513	3326	31451514	3332	31351515	3338	31351516	3344	31251517	3350	31151518	3356	31151519	3361	31052520	3367	30952521	3373	30852522	3379	30852523	3385	30752524	3391	30652525	3396	30652526	3402	30552527	3408	30452528	3414	30452529	3420	30353530	3426	30253531	3431	30153532	3437	30153533	3443	30053534	3449	29953535	3455	29953536	3464	29853537	3470	29853538	3476	29753539	3482	29654540	3488	29554541	3496	29554542	3502	29454543	3508	29454544	3514	29354545	3519	29254546	3525	29154547	3531	29154548	3537	29054549	3543	28955550	3549	28955551	3555	28855552	3561	28755553	3567	28755554	3572	28655555	3578	28555556	3584	28555557	3590	28455558	3596	28355559	3602	28356560	3608	28256561	3614	28156562	3620	28156563	3626	28056564	3632	27956565	3637	27856566	3644	2782
567	3649	27756568	3655	27656569	3661	2762
570	3667	27557571	3673	27457572	3679	27457573	3685	2735
574	3691	2728
575	3697	2721
576	3703	2714
577	3708	2707
578	3714	2700
579	3720	2693
580	3725	2686
581	3731	2680
582	3740	2675
583	3746	2668
584	3751	2661
585	3760	2656
586	3767	2650
587	3772	2643
588	3779	2637
589	3785	2630
590	3791	2624
591	3797	2617
592	3803	2610
593	3809	2603
594	3815	2596
