iter	RMSE
0	1197.516745
1	1185.453164
2	1175.289439
3	1166.310182
4	1156.802299
5	1154.09274
6	1147.381122
7	1137.311503
8	1132.013617
9	1123.257125
10	1115.140339
11	1110.381436
12	1100.964111
13	1096.163107
14	1088.734925
15	1085.513994
16	1079.873931
17	1077.512566
18	1072.950242
19	1066.704036
20	1060.719275
21	1055.666297
22	1045.994812
23	1041.213716
24	1035.797773
25	1029.158069
26	1023.108094
27	1021.118278
28	1015.941776
29	1011.841025
30	1007.82726
31	1004.55202
32	1000.737972
33	997.4539383
34	994.8152376
35	990.4609413
36	987.7133855
37	983.2339243
38	981.4421257
39	977.6693958
40	974.3357969
41	972.7712023
42	969.577717
43	965.7642512
44	963.9173969
45	958.6423092
46	955.9606727
47	952.5531175
48	949.7202541
49	947.7165107
50	943.8490812
51	939.4361163
52	937.0040976
53	934.0471748
54	930.4042576
55	928.163673
56	925.4421978
57	923.4041568
58	921.5474503
59	918.9694419
60	915.8248956
61	913.6002755
62	912.1089004
63	910.7020579
64	909.0451116
65	906.3121129
66	904.4747705
67	902.7939863
68	901.5264858
69	899.3869939
70	897.3879603
71	894.4553228
72	892.4734501
73	890.7505414
74	888.9964047
75	886.5243735
76	884.4208278
77	882.3942143
78	879.664871
79	877.352993
80	874.6653466
81	873.0279226
82	869.9537287
83	868.1158101
84	866.0363002
85	864.4316951
86	863.2317584
87	861.2779521
88	859.9312513
89	858.2718189
90	855.9795048
91	853.9021454
92	850.3129682
93	848.3067195
94	846.3566618
95	842.8473249
96	841.1523687
97	839.8620611
98	838.4390412
99	834.8884297
100	832.5930564
101	828.2445088
102	826.7198777
103	823.6722203
104	821.9707289
105	820.5939281
106	818.2511578
107	815.4084445
108	814.5513627
109	812.3162967
110	808.6241779
111	807.0570788
112	806.1986109
113	804.6837493
114	802.9435517
115	801.2845757
116	799.4446354
117	798.2111779
118	796.8811563
119	794.5568726
120	792.7536962
121	791.0976852
122	790.160041
123	787.9115422
124	786.718053
125	784.445966
126	782.9391725
127	781.0625611
128	779.5592047
129	777.9351374
130	775.4914463
131	773.3697827
132	770.2291919
133	768.929621
134	767.2447368
135	765.9982348
136	763.5454199
137	761.3625838
138	759.8206194
139	758.4616118
140	757.3222518
141	755.7923152
142	754.6199991
143	753.0722331
144	751.8801911
145	750.2418758
146	748.7344611
147	747.2550392
148	745.6760512
149	742.553745
150	741.1471371
151	739.3681991
152	737.544611
153	735.3636308
154	734.0829375
155	732.8928056
156	731.4395867
157	729.8705497
158	728.5727518
159	727.0550531
160	725.4736757
161	722.16108
162	720.7102444
163	719.5786735
164	718.2402831
165	716.5517401
166	714.1977811
167	711.6055462
168	709.0069827
169	707.3677505
170	703.6487973
171	702.1191887
172	700.8954628
173	699.1470862
174	697.0650514
175	695.5210587
176	693.871707
177	692.4798647
178	689.9883205
179	687.0759297
180	685.8010056
181	683.5615075
182	680.3001857
183	678.4339753
184	675.9263221
185	674.2579802
186	671.9390975
187	670.4032418
188	668.6642035
189	667.0341533
190	665.2956536
191	664.2168134
192	661.6711371
193	659.0618783
194	657.7163478
195	656.1791133
196	654.4960446
197	652.4887393
198	650.6354946
199	648.4143932
200	646.8290374
201	645.1039316
202	643.9509238
203	642.1036337
204	638.7198646
205	637.0781025
206	635.2384242
207	634.1191069
208	632.5108656
209	629.1883006
210	627.2010978
211	625.1598836
212	623.2687776
213	621.4852881
214	620.1352411
215	617.9337031
216	616.1722993
217	612.993582
218	611.1597606
219	609.9032597
220	608.1822353
221	606.3917153
222	604.3528972
223	602.2043971
224	600.5567107
225	598.838891
226	596.8570124
227	595.5164012
228	592.0794418
229	590.592195
230	588.387037
231	586.4868896
232	584.6519479
233	582.6771699
234	580.828297
235	579.183006
236	577.6498631
237	575.0157414
238	572.044091
239	570.5561219
240	569.1220557
241	567.2797003
242	566.0512353
243	564.6858196
244	562.6634659
245	561.2559222
246	559.9947602
247	559.122352
248	557.2274418
249	555.4706803
250	553.9056057
251	552.4816217
252	550.2408482
253	548.4501209
254	547.1329357
255	545.4531719
256	543.9781643
257	542.6650846
258	541.2766175
259	539.8025973
260	538.3068322
261	536.4796244
262	535.5069182
263	534.1855405
264	532.1772385
265	530.2514344
266	527.8107199
267	525.913589
268	524.2891956
269	522.5529326
270	521.1349127
271	519.4953446
272	518.2146514
273	516.7262431
274	515.2046993
275	514.7797084
276	513.4128844
277	512.2793242
278	510.1531393
279	508.9670652
280	507.5866656
281	506.3373409
282	505.0485067
283	503.3729499
284	501.1762546
285	499.4552193
286	497.0234615
287	495.2189287
288	492.707165
289	491.9952463
290	490.3777307
291	488.8173028
292	487.947319
293	487.1358375
294	486.0676771
295	484.4088247
296	482.8949856
297	481.2054576
298	479.5684704
299	478.2337438
300	477.1622205
301	476.2225433
302	475.801409
303	474.5468048
304	473.0301737
305	472.0817677
306	470.6907671
307	469.3537981
308	468.0599013
309	466.8165515
310	465.4786322
311	462.9962562
312	461.579554
313	460.3069597
314	458.5308174
315	457.3318405
316	456.1025716
317	454.7939914
318	453.3610751
319	452.5467888
320	451.1793434
321	449.9870117
322	448.4092585
323	446.3485547
324	444.9391483
325	443.4278853
326	442.5665571
327	441.3519118
328	440.2526306
329	438.9474853
330	437.7987551
331	436.3443863
332	434.8625553
333	433.743699
334	432.644935
335	431.562309
336	430.3425295
337	429.1546088
338	428.120149
339	426.7895655
340	425.9530486
341	424.8807078
342	423.2975036
343	422.2270583
344	421.0666894
345	419.8866303
346	418.5418986
347	417.318568
348	415.8130803
349	414.8832202
350	413.7410071
351	412.5539811
352	411.8547055
353	410.3858472
354	409.4364664
355	408.4967001
356	407.5566271
357	405.6131523
358	404.4030919
359	403.5145052
360	402.3424354
361	401.2434081
362	400.4794832
363	399.0492841
364	398.1627323
365	397.1331046
366	396.0408574
367	394.6950983
368	393.4477383
369	392.5899724
370	391.4499363
371	390.335511
372	389.7359416
373	388.943514
374	387.2226755
375	385.995434
376	384.9452048
377	382.9873499
378	382.0547169
379	381.9041109
380	380.5834507
381	379.564224
382	378.4888886
383	377.3443708
384	376.4437598
385	375.4244924
386	374.5465632
387	373.4724349
388	372.4064145
389	371.4031446
390	370.1761802
391	368.8409472
392	367.4786342
393	366.705915
394	365.9126773
395	364.8485533
396	364.1528195
397	362.6826482
398	361.8624056
399	360.6398195
400	359.766333
401	358.8602466
402	357.6567059
403	356.7476269
404	355.4836977
405	354.4912884
406	353.5057102
407	352.5497001
408	351.3105121
409	350.2042482
410	349.3888678
411	348.545803
412	347.4938065
413	346.6854482
414	345.101073
415	343.9319835
416	342.4921133
417	341.6323356
418	340.8567811
419	339.9165285
420	339.2475444
421	338.0956045
422	337.3416834
423	336.6149123
424	335.6707431
425	335.0562373
426	334.3421191
427	333.4179093
428	332.6180202
429	331.4081098
430	330.3795133
431	329.7538932
432	328.801177
433	328.0443052
434	327.4776698
435	326.1790738
436	325.319565
437	324.3734031
438	323.4661903
439	322.6364427
440	321.9914329
441	321.4199844
442	320.705348
443	319.9487376
444	319.0840169
445	318.406187
446	317.6803445
447	316.5693536
448	315.7939544
449	314.6799088
450	313.7847966
451	313.0867541
452	312.1259418
453	311.4486585
454	310.4451195
455	309.6754416
456	309.1691056
457	308.3873218
458	307.6933768
459	306.6336814
460	305.921824
461	304.625376
462	303.1749194
463	302.3458002
464	301.5450938
465	300.539806
466	299.7630729
467	298.9286708
468	298.1648662
469	297.5260417
470	297.0246534
471	296.169722
472	295.2897536
473	293.7696109
474	292.9548374
475	292.2822268
476	291.5094157
477	290.5450882
478	289.5538781
479	288.6912716
480	287.9900005
481	287.465039
482	286.7183962
483	286.1746635
484	285.3842541
485	284.6832064
486	283.8937608
487	283.0658733
488	282.6258119
489	281.7796388
490	281.2237088
491	280.6834486
492	280.0407791
493	279.4318922
494	278.8993332
495	278.3500764
496	277.8712594
497	277.1452516
498	276.5175288
499	275.8217642
500	275.2227168
501	274.4267356
502	273.6209995
503	272.5668117
504	271.6951931
505	270.7302771
506	269.7244432
507	268.9270644
508	268.1522179
509	267.5512876
510	266.9130944
511	266.0635416
512	265.2542939
513	264.6138514
514	264.1562834
515	263.5556697
516	262.8466738
517	262.005672
518	261.3348095
519	260.7280229
520	260.0266935
521	259.5446679
522	259.1381639
523	258.2873442
524	257.5371637
525	256.8373406
526	256.0561284
527	255.5783098
528	255.1365103
529	254.5188443
530	253.8945581
531	253.3901443
532	252.5411624
533	251.9042863
534	251.2009244
535	250.6997829
536	250.2139805
537	249.6178052
538	249.1086755
539	248.6425738
540	248.1301429
541	247.5111218
542	246.9482581
543	246.1408068
544	245.1900922
545	244.672499
546	244.2185562
547	243.2451362
548	242.7827972
549	241.9406153
550	241.5361973
551	241.1376551
552	240.5859698
553	239.8598694
554	239.2110764
555	238.3763984
556	237.8140192
557	237.2781069
558	236.7120037
559	236.022924
560	235.4556163
561	234.8557445
562	233.9580204
563	233.4266998
564	232.6984208
565	232.1499189
566	231.5922341
567	231.1502274
568	230.6293359
569	230.1624006
570	229.5245843
571	228.7334195
572	228.1296277
573	227.4841808
574	226.8771246
575	226.4134548
576	226.0069063
577	225.4790837
578	224.7520065
579	224.4361006
580	223.7430782
581	222.6997769
582	222.3653515
583	221.8396471
584	221.2222513
585	220.5808882
586	220.02797
587	219.5588041
588	219.1708504
589	218.6521752
590	218.1693029
591	217.901116
592	217.3522091
593	216.8295093
594	216.4989223
595	216.0651087
596	215.6203067
597	215.099499
598	214.3720016
599	213.9173738
600	213.5191873
601	212.8334021
602	212.3511678
603	211.8438093
604	211.5592902
605	210.951946
606	210.431597
607	209.879418
608	209.3820231
609	208.5551003
610	207.8777521
611	207.3876135
612	206.8590963
613	206.3372931
614	205.804158
615	205.2444132
616	204.8087619
617	204.5103705
618	204.0126445
619	203.5455868
620	203.2389459
621	202.6832493
622	202.246617
623	201.6811629
624	201.3374964
625	200.9183592
626	200.6666532
627	200.2181506
628	199.6372374
629	198.9756316
630	198.4563797
631	198.0350035
632	197.6898475
633	197.1756026
634	196.8167932
635	196.0636854
636	195.6492254
637	195.3698103
638	194.9383504
639	194.4805151
640	194.0845134
641	193.7545311
642	193.4325933
643	192.9390353
644	192.5586385
645	192.0614898
646	191.4803578
647	191.1999039
648	190.8871641
649	190.4040149
650	189.8677537
651	189.3775387
652	189.0841869
653	188.6569606
654	188.214076
655	187.9399446
656	187.6446296
657	187.3950403
658	186.9410553
659	186.3666294
660	185.9302899
661	185.5701032
662	185.0879836
663	184.6491171
664	183.9543097
665	183.55632
666	183.0629315
667	182.6263052
668	182.0832273
669	181.49547
670	181.2523805
671	181.0273676
672	180.3971585
673	180.0605109
674	179.3000531
675	179.0119028
676	178.7357063
677	178.3612212
678	177.90907
679	177.6417578
680	177.2382773
681	176.7117553
682	176.4064805
683	176.0110634
684	175.7793415
685	175.4969485
686	175.1467408
687	174.6710529
688	174.2480677
689	173.9915356
690	173.6213094
691	173.116162
692	172.9393836
693	172.4567924
694	172.1559837
695	171.7891935
696	171.5190129
697	171.1333001
698	170.7751872
699	170.4685024
700	170.1371487
701	169.6236888
702	169.3317895
703	168.7922056
704	168.450665
705	168.063715
706	167.6739233
707	167.2952259
708	166.8950351
709	166.6711501
710	166.32696
711	166.0492066
712	165.3000501
713	165.0247822
714	164.6103781
715	164.2393737
716	163.9202355
717	163.427908
718	163.1219872
719	162.7674603
720	162.4672808
721	162.1131068
722	161.7551439
723	161.3749492
724	160.9228966
725	160.7825784
726	160.3955111
727	160.0487332
728	159.8154642
729	159.530063
730	159.2025998
731	158.5550256
732	158.1996386
733	158.0352218
734	157.6938949
735	157.4776384
736	157.1842261
737	156.8908683
738	156.4995465
739	156.26404
740	155.9711786
741	155.6900204
742	155.4204406
743	155.0583705
744	154.6648547
745	154.1487461
746	153.6932315
747	153.262225
748	152.9266252
749	152.556854
750	152.3032346
751	151.9557422
752	151.6775283
753	151.2478944
754	151.1204389
755	150.931245
756	150.6371268
757	150.2808614
758	150.1004305
759	149.7282878
760	149.4525228
761	149.1686595
762	148.8368581
763	148.5895335
764	148.337578
765	148.1938311
766	147.8925475
767	147.7755683
768	147.4564057
769	147.1625563
770	146.9235443
771	146.5389442
772	146.1770139
773	145.8666305
774	145.4805633
775	145.2655601
776	144.9959773
777	144.4137449
778	144.317927
779	144.1445655
780	143.711837
781	143.539523
782	143.0563021
783	142.6814117
784	142.3561334
785	142.1266935
786	141.8344561
787	141.4408779
788	141.0461824
789	140.7247072
790	140.4090799
791	140.1856338
792	139.9657876
793	139.6799963
794	139.4388613
795	139.1915396
796	138.9107321
797	138.2585256
798	137.9017209
799	137.6144263
800	137.3054464
801	137.0465456
802	136.9102611
803	136.7067884
804	136.1523161
805	135.9411332
806	135.7449786
807	135.5245396
808	135.1306876
809	134.8906519
810	134.5536162
811	134.1403024
812	133.8605095
813	133.5073755
814	133.3446053
815	133.0560518
816	132.7993673
817	132.4545027
818	132.1735906
819	131.986154
820	131.5915464
821	131.3490022
822	131.0660928
823	130.8748266
824	130.6738566
825	130.3726626
826	130.2007908
827	129.9896424
828	129.7054048
829	129.5940307
830	129.2986333
831	129.1033431
832	128.8905513
833	128.4689474
834	128.2107673
835	127.902499
836	127.7006022
837	127.4128399
838	127.159357
839	127.0428452
840	126.8623466
841	126.5729291
842	126.3059915
843	125.6538181
844	125.0212342
845	124.6624909
846	124.4251128
847	124.1757668
848	123.6012425
849	123.4178137
850	123.1658412
851	122.9019609
852	122.6102395
853	122.4171853
854	122.1505251
855	121.8499608
856	121.5915277
857	121.2847651
858	121.0866469
859	120.9062354
860	120.671455
861	120.4288571
862	120.3374084
863	120.1118612
864	119.9459176
865	119.777604
866	119.3596402
867	118.9838093
868	118.746744
869	118.147706
870	117.9483249
871	117.7773452
872	117.5659992
873	117.1357749
874	116.9802899
875	116.9183362
876	116.8197756
877	116.6422794
878	116.381254
879	116.1429068
880	115.8737406
881	115.6726943
882	115.095161
883	114.8035314
884	114.6259142
885	114.2999272
886	114.0234191
887	113.8023594
888	113.5893816
889	113.3861944
890	113.1151996
891	112.9194707
892	112.6632024
893	112.4424568
894	112.1223146
895	112.0359458
896	111.768237
897	111.5634558
898	111.4161782
899	111.1989705
900	111.0209146
901	110.6375066
902	110.4116956
903	110.1887742
904	110.0575791
905	109.8514652
906	109.7194163
907	109.5241993
908	109.4281297
909	109.2206498
910	109.0352087
911	108.8844301
912	108.6681465
913	108.5289598
914	108.3177915
915	108.1484532
916	107.9369905
917	107.7392994
918	107.5540461
919	107.4108551
920	107.1990344
921	106.8323663
922	106.729496
923	106.4591687
924	106.2129648
925	105.9926696
926	105.8162599
927	105.6777068
928	105.483669
929	105.3587381
930	104.7552925
931	104.5299958
932	104.3351543
933	104.1705487
934	104.0940623
935	103.9224844
936	103.8109164
937	103.6041844
938	103.4362575
939	103.2581507
940	102.9479749
941	102.7823166
942	102.5487167
943	102.4383934
944	102.3056018
945	102.1219604
946	101.9992469
947	101.7843158
948	101.5879354
949	101.3624317
950	101.220337
951	100.9974819
952	100.7770312
953	100.6110257
954	100.440703
955	100.2838515
956	100.0680982
957	99.85809751
958	99.61897909
959	99.50948826
960	99.42780981
961	99.22259648
962	99.0758968
963	98.74684247
964	98.67264288
965	98.54506885
966	98.37104316
967	98.22286229
968	98.01682923
969	97.81680792
970	97.66630087
971	97.54503854
972	97.43187005
973	97.31256165
974	97.23555838
975	97.11014396
976	96.99048955
977	96.83329089
978	96.62837651
979	96.46946777
980	96.32392181
981	96.19373228
982	95.97541788
983	95.80106702
984	95.64421044
985	95.45722398
986	95.33590753
987	95.23525884
988	94.97106734
989	94.82245596
990	94.63720696
991	94.46627722
992	94.29122007
993	94.11906324
994	93.93357847
995	93.85065957
996	93.72703138
997	93.58907364
998	93.45420706
999	93.31203582
