iter	Logloss
0	0.6871521926
1	0.6809669086
2	0.6748320219
3	0.668323878
4	0.6626289768
5	0.6587594863
6	0.6528605057
7	0.6465712773
8	0.6409434965
9	0.6356423501
10	0.63036936
11	0.6249576705
12	0.6188278934
13	0.6127194106
1414	0.61072541415	0.6038111099
16	0.5988179639
17	0.5933492997
18	0.5881521489
19	0.5832665364
20	0.5781946208
21	0.5730717774
22	0.5681960046
23	0.5636393609
24	0.5587818675
25	0.5548442469
26	0.5495285383
27	0.545097282
28	0.5414603984
29	0.538206795
30	0.532815728
31	0.5285127185
3232	0.53281746233	0.5204336005
34	0.5162161109
35	0.5114834398
3636	0.5161184603737	0.5126984073838	0.5092967693939	0.5058235384040	0.5021918424141	0.4987723444242	0.4959832784343	0.4918972984444	0.4890393714545	0.4859228846	46	0.4821370347	47	0.4776068048	48	0.475296549	049	0.472242550	050	0.469098851	051	0.466337652	052	0.46380285353	0.4606062145454	0.4577405255555	0.4545143035656	0.4519425175757	0.4483935405858	0.4452225365959	0.44275528560	0.4296695805
6161	0.4374772236262	0.4353523036363	0.432549864	064	0.429836365	065	0.427099366	066	0.424203167	067	0.421893268	068	0.41933669	0.69	0.41643070	0.70	0.41353571	0.71	0.41126472	0.4018028757
73	0.3992732634
74	0.3968149699
75	0.3945675097
76	0.76	0.39866177	0.77	0.3960178	0.378	0.3935279	0.3851605501
80	0.3829648706
81	0.3811227698
82	0.3787691519
83	0.383	0.3831184	0.375431833
85	0.3733204366
86	0.3711307666
87	0.3689025152
88	0.3668774909
89	0.365148017
90	0.3631269901
91	0.36191	0.36892	0.3594451763
93	0.3579122862
94	0.3556517437
95	0.3538876714
96	0.3596	0.397	0.3501597	0.398	0.3484299668
99	0.3470403083
100	0.345165179
101	0.34394101	0.102	0.341995158
103	0.340369103	0104	0.338381104	0105	0.336534105	0106	0.334884106	0107	0.333217107	0.3395387364
108	0109	0.330156109	0110	0.328503110	0111	0.326899111	0112	0.325861112	0113	0.324391113	114	0.3232658114	115	0.3214018115	116	0.3195239116	117	0.3185413117	118	0.3172089118	119	0.315829119	0120	0.314625120	0121	0.313087121	0122	0.311553122	0123	0.310107123	0124	0.308603124	0.3163660213
125	0.3153864695
126	0.3140121551
127	0.3125096223
