iter	Passed	Remaining
0	2	2596
1	4	2299
2	6	2094
3	7	1941
4	9	1874
5	10	1723
6	11	1688
7	13	1657
8	14	1641
9	16	1625
10	17	1594
11	19	1572
12	20	1573
13	22	1567
14	23	1563
15	25	1542
16	26	1546
17	28	1540
18	29	1534
19	31	1534
20	32	1530
21	34	1529
22	35	1522
23	37	1513
24	38	1512
25	40	1516
26	42	1514
27	44	1527
28	44	1505
29	46	1497
30	47	1499
31	49	1496
32	49	1462
33	52	1478
34	53	1478
35	55	1476
36	55	1457
37	57	1456
38	59	1460
39	60	1445
40	61	1442
41	63	1444
42	64	1437
43	66	1436
44	67	1440
45	68	1430
46	70	1428
47	72	1430
48	73	1419
49	74	1416
50	76	1414
51	77	1413
52	78	1410
53	80	1410
54	82	1409
55	83	1408
56	84	1404
57	86	1402
58	87	1401
59	89	1400
60	91	1407
61	92	1392
62	93	1387
63	94	1385
64	96	1385
65	97	1384
66	99	1382
67	100	1379
68	102	1377
69	103	1376
70	105	1373
71	106	1371
72	108	1379
73	110	1377
74	111	1376
75	112	1364
76	113	1363
77	115	1361
78	116	1360
79	118	1363
80	120	1368
81	122	1367
82	123	1365
83	123	1350
84	126	1358
85	128	1364
86	129	1363
87	131	1361
88	132	1359
89	134	1357
90	135	1354
91	135	1341
92	138	1348
93	139	1346
94	141	1344
95	141	1331
96	142	1330
97	146	1345
98	151	1374
99	153	1379
100	155	1384
101	155	1372
102	161	1403
103	162	1403
104	164	1404
105	166	1407
106	168	1409
107	170	1412
108	172	1414
109	175	1416
110	176	1412
111	181	1441
112	184	1448
113	186	1447
114	187	1445
115	192	1468
116	194	1470
117	196	1465
118	198	1471
119	216	1584
120	218	1587
121	220	1587
122	222	1587
123	224	1588
124	228	1600
125	231	1607
126	234	1610
127	237	1617
128	240	1623
129	244	1632
130	245	1629
131	247	1627
132	249	1623
133	251	1627
134	254	1627
135	255	1626
136	257	1624
137	259	1623
138	261	1619
139	263	1616
140	264	1612
141	266	1609
142	267	1602
143	268	1598
144	270	1593
145	271	1590
146	273	1585
147	276	1589
148	277	1585
149	279	1582
150	280	1578
151	282	1574
152	283	1570
153	285	1566
154	286	1560
155	287	1556
156	289	1552
157	290	1546
158	291	1542
159	293	1538
160	294	1535
161	295	1530
162	297	1527
163	299	1525
164	300	1521
165	302	1517
166	303	1514
167	305	1513
168	307	1509
169	308	1506
170	310	1503
171	311	1501
172	313	1498
173	315	1495
174	316	1492
175	318	1489
176	319	1487
177	321	1483
178	322	1480
179	324	1477
180	325	1473
181	327	1470
182	328	1467
183	330	1464
184	331	1461
185	333	1458
186	334	1455
187	336	1452
188	337	1449
189	339	1446
190	340	1443
191	342	1440
192	343	1437
193	345	1433
194	346	1430
195	348	1427
196	349	1425
197	351	1422
198	352	1420
199	354	1416
200	355	1414
201	357	1411
202	358	1408
203	360	1405
204	361	1402
205	363	1399
206	364	1395
207	365	1392
208	367	1389
209	368	1386
210	369	1383
211	371	1381
212	373	1378
213	374	1375
214	375	1372
215	377	1370
216	379	1368
217	382	1371
218	384	1369
219	385	1366
220	386	1364
221	388	1361
222	390	1359
223	391	1355
224	392	1353
225	394	1351
226	395	1348
227	397	1345
228	398	1342
229	400	1339
230	401	1337
231	403	1334
232	404	1332
233	406	1329
234	407	1326
235	409	1324
236	410	1322
237	411	1318
238	413	1316
239	414	1313
240	416	1311
241	417	1309
242	419	1306
243	420	1304
244	422	1302
245	423	1299
246	425	1296
247	426	1293
248	428	1291
249	429	1289
250	431	1288
251	434	1288
252	435	1286
253	437	1284
254	438	1280
255	439	1278
256	441	1276
257	443	1274
258	444	1272
259	446	1270
260	447	1268
261	449	1265
262	450	1263
263	452	1261
264	453	1258
265	455	1256
266	456	1254
267	458	1251
268	459	1249
269	461	1247
270	462	1245
271	464	1242
272	465	1240
273	467	1237
274	468	1235
275	469	1232
276	471	1230
277	472	1227
278	474	1224
279	475	1222
280	476	1220
281	478	1218
282	480	1216
283	481	1214
284	483	1212
285	485	1210
286	486	1207
287	487	1205
288	489	1203
289	490	1201
290	492	1199
291	493	1197
292	495	1194
293	496	1192
294	498	1190
295	499	1187
296	501	1186
297	504	1187
298	505	1186
299	507	1184
300	509	1182
301	511	1181
302	512	1179
303	516	1182
304	519	1183
305	521	1183
306	524	1183
307	527	1184
308	529	1184
309	531	1182
310	532	1180
311	534	1178
312	535	1176
313	537	1173
314	540	1174
315	541	1171
