iter	RMSE
0	33919.87618
1	33309.5086
2	32631.48074
3	31972.29745
4	31353.4555
5	30768.73131
6	30257.92749
7	29694.44645
8	29220.61065
9	28741.49722
10	28284.69945
11	27878.34205
12	27433.74077
13	27005.15617
14	26639.56248
15	26297.31247
16	26000.26544
17	25669.48978
18	25340.36621
19	25048.48485
20	24787.41444
21	24503.58775
22	24207.74806
23	23958.64347
24	23708.1344
25	23468.13662
26	23236.39621
27	23015.87928
28	22817.25994
29	22626.33348
30	22441.5869
31	22264.61294
32	22088.67638
33	21936.95176
34	21782.26252
35	21628.2496
36	21496.46338
37	21359.28981
38	21219.2731
39	21065.38311
40	20945.22137
41	20833.9916
42	20720.32624
43	20622.98613
44	20522.82187
45	20434.91117
46	20327.85716
47	20229.54428
48	20139.74466
49	20058.05207
50	19976.6621
51	19905.92298
52	19808.94001
53	19743.49473
54	19687.97943
55	19629.00134
56	19537.11798
57	19477.68167
58	19400.79005
59	19357.60371
60	19308.75355
61	19241.43477
62	19187.8917
63	19149.90504
64	19110.66009
65	19043.20957
66	18987.73939
67	18928.26105
68	18879.9868
69	18824.95582
70	18780.43041
71	18735.98577
72	18694.33094
73	18652.84385
74	18634.27957
75	18613.56886
76	18556.42782
77	18528.67084
78	18504.3124
79	18457.28438
80	18393.30245
81	18344.41707
82	18280.80138
83	18256.66453
84	18199.28036
85	18164.3456
86	18134.36348
87	18118.28714
88	18062.18174
89	18040.11627
90	18030.75218
91	17987.19283
92	17961.54637
93	17941.05125
94	17896.82524
95	17882.59534
96	17873.3121
97	17813.17543
98	17784.08709
99	17778.01091
100	17749.83854
101	17722.39179
102	17707.02589
103	17691.04302
104	17664.34724
105	17631.21311
106	17596.54263
107	17558.13612
108	17534.55904
109	17525.58728
110	17515.93923
111	17495.09657
112	17463.23731
113	17439.38071
114	17429.22788
115	17390.05494
116	17382.91676
117	17356.57618
118	17331.75086
119	17284.4517
120	17217.00572
121	17207.7184
122	17199.19468
123	17191.90424
124	17149.0252
125	17139.73601
126	17125.80403
127	17100.20237
128	17083.02626
129	17069.50111
130	17037.70259
131	17031.9061
132	17014.59018
133	16984.59484
134	16972.56751
135	16942.63723
136	16893.64506
137	16883.05429
138	16865.17551
139	16859.01263
140	16815.53957
141	16771.01446
142	16726.98364
143	16692.70545
144	16667.8559
145	16638.63162
146	16600.68594
147	16590.95409
148	16576.85125
149	16565.38096
150	16493.19712
151	16483.89127
152	16439.51007
153	16429.73515
154	16419.72085
155	16410.91625
156	16406.08856
157	16400.40552
158	16392.26076
159	16385.30525
160	16360.50052
161	16352.80768
162	16344.83878
163	16337.22261
164	16330.16648
165	16323.89739
166	16311.18165
167	16301.59155
168	16292.20552
169	16284.20178
170	16238.86859
171	16214.46731
172	16207.45879
173	16197.38194
174	16184.88235
175	16175.90601
176	16168.60645
177	16154.25811
178	16128.93501
179	16119.93775
180	16077.92715
181	16026.44864
182	16019.06657
183	16000.53684
184	15990.81596
185	15979.02771
186	15969.7313
187	15941.88337
188	15918.63612
189	15910.55024
190	15904.4685
191	15895.00033
192	15869.66706
193	15859.76785
194	15851.33226
195	15843.66977
196	15830.82685
197	15820.11586
198	15777.55059
199	15766.91558
200	15720.92035
201	15710.79413
202	15700.54648
203	15692.0121
204	15642.01329
205	15633.63658
206	15622.22098
207	15613.97143
208	15605.71406
209	15597.89025
210	15566.62617
211	15518.14872
212	15509.80206
213	15499.91652
214	15491.79737
215	15482.18189
216	15467.95828
217	15437.76454
218	15407.06599
219	15381.98916
220	15328.03549
221	15319.77083
222	15310.08547
223	15274.93465
224	15264.86121
225	15255.20995
226	15246.13814
227	15236.20604
228	15227.15148
229	15199.8376
230	15188.57104
231	15162.52979
232	15152.81422
233	15143.49346
234	15106.86955
235	15071.94139
236	15063.49795
237	15038.98492
238	15029.98386
239	15021.41279
240	15013.08021
241	15004.228
242	14966.43621
243	14897.07917
244	14873.5923
245	14865.38844
246	14856.70013
247	14828.50569
248	14820.68085
249	14811.38531
250	14784.3603
251	14754.83672
252	14732.25235
253	14695.97066
254	14688.02554
255	14633.08338
256	14624.81554
257	14568.44732
258	14560.17772
259	14522.3759
260	14489.04217
261	14450.63009
262	14442.73325
263	14410.39337
264	14402.26319
265	14367.77216
266	14359.68212
267	14350.89876
268	14343.25373
269	14335.62055
270	14325.59512
271	14284.00312
272	14238.86482
273	14231.20852
274	14223.62167
275	14189.99279
276	14182.4623
277	14173.52002
278	14153.01004
279	14145.78744
280	14110.26161
281	14081.45811
282	14041.35898
283	14034.0524
284	14004.83164
285	13979.42443
286	13947.06026
287	13939.70258
288	13916.08443
289	13883.25127
290	13876.65694
291	13838.57547
292	13831.80202
293	13824.68006
294	13816.57209
295	13806.22812
296	13768.88532
297	13726.94369
298	13720.32057
299	13713.47507
300	13681.54121
301	13652.32152
302	13645.45054
303	13619.63368
304	13588.40722
305	13556.19429
306	13528.39125
307	13522.20442
308	13488.19259
309	13481.44713
310	13442.39832
311	13398.97738
312	13359.09207
313	13352.45608
314	13336.37878
315	13330.20803
316	13323.71073
317	13290.41418
318	13259.72312
319	13220.65418
320	13214.2108
321	13181.5705
322	13175.1082
323	13133.30112
324	13099.90478
325	13092.00126
326	13067.71396
327	13058.74336
328	13039.36243
329	13019.33244
330	13013.27348
331	12979.2515
332	12972.93369
333	12947.98781
334	12912.20756
335	12870.12398
336	12863.81494
337	12856.67885
338	12805.62042
339	12777.4445
340	12771.31879
341	12765.21259
342	12743.53777
343	12737.47621
344	12731.45892
345	12725.35434
346	12707.32017
347	12687.36468
348	12681.39376
349	12656.83611
350	12635.36937
351	12628.26415
352	12612.67382
353	12606.74883
354	12588.76885
355	12557.74785
356	12538.72276
357	12532.84768
358	12507.93425
359	12500.75334
360	12449.68619
361	12443.86381
362	12392.15484
363	12367.73848
364	12349.35535
365	12324.38537
366	12307.52116
367	12258.82937
368	12253.06534
369	12227.32982
370	12210.7338
371	12205.04593
372	12184.21784
373	12178.9753
374	12172.52292
375	12109.1702
376	12101.40477
377	12095.85401
378	12075.49173
379	12062.54078
380	12033.3753
381	12011.68968
382	12005.52848
383	11971.03936
384	11965.51585
385	11959.97851
386	11954.55763
387	11949.17198
388	11904.40938
389	11898.96142
390	11873.04249
391	11867.68782
392	11811.36319
393	11806.03711
394	11765.32384
395	11730.63614
396	11693.04836
397	11666.54336
398	11651.9073
399	11634.0274
400	11591.58122
401	11586.20129
402	11580.22518
403	11555.22293
404	11511.05992
405	11504.8916
406	11462.13559
407	11456.92809
408	11416.17362
409	11401.45334
410	11396.28608
411	11391.16724
412	11369.4545
413	11339.83987
414	11320.15815
415	11279.084
416	11273.99169
417	11244.72446
418	11207.91859
419	11176.21688
420	11169.93722
421	11164.84333
422	11159.87748
423	11139.96262
424	11134.95605
425	11129.99506
426	11125.11523
427	11089.95428
428	11085.02231
429	11062.35435
430	11057.48802
431	11041.95921
432	11037.11493
433	11012.41449
434	11007.93085
435	10985.64785
436	10980.84407
437	10956.84352
438	10940.78245
439	10933.30287
440	10901.482
441	10896.61308
442	10872.2504
443	10866.87184
444	10862.11708
445	10857.40154
446	10838.11102
447	10813.86322
448	10798.12877
449	10761.07323
450	10743.93802
451	10691.58125
452	10686.93533
453	10637.28484
454	10632.67141
455	10628.0783
456	10600.84099
457	10594.78067
458	10583.77532
459	10562.65148
460	10558.01155
461	10553.49175
462	10535.97646
463	10517.5604
464	10513.01651
465	10508.44553
466	10503.97149
467	10477.1648
468	10459.64316
469	10455.07412
470	10426.47785
471	10406.74474
472	10402.22861
473	10381.22459
474	10366.90007
475	10343.49188
476	10313.15582
477	10294.29571
478	10278.8162
479	10274.31059
480	10246.5338
481	10242.06749
482	10237.71239
483	10233.31535
484	10210.94503
485	10190.72681
486	10186.34447
487	10182.05928
488	10177.79216
489	10173.55078
490	10116.32205
491	10112.02578
492	10087.52375
493	10064.62081
494	10050.14482
495	10045.92034
496	10041.72373
497	10020.89247
498	10016.71537
499	9999.489049
500	9976.64441
501	9963.158821
502	9939.227354
503	9935.04282
504	9930.92567
505	9910.147395
506	9906.022774
507	9900.329397
508	9896.239515
509	9877.625715
510	9873.550732
511	9860.788003
512	9856.749141
513	9852.69837
514	9829.071232
515	9806.3104
516	9802.280404
517	9777.916117
518	9759.214037
519	9746.502245
520	9742.468748
521	9738.475573
522	9734.504716
523	9730.556955
524	9718.531517
525	9714.586929
526	9710.657966
527	9706.740289
528	9693.977401
529	9690.071994
530	9664.88171
531	9638.277714
532	9608.152706
533	9589.547112
534	9566.976368
535	9563.048135
536	9558.460543
537	9554.514417
538	9550.685362
539	9527.193793
540	9495.428641
541	9491.581847
542	9487.768817
543	9483.982367
544	9480.144476
545	9457.461978
546	9444.423626
547	9430.465382
548	9426.689845
549	9412.288997
550	9408.458988
551	9385.536899
552	9362.454713
553	9358.688452
554	9333.266442
555	9329.513987
556	9325.791318
557	9305.728028
558	9294.353568
559	9290.63266
560	9274.162692
561	9258.550291
562	9254.842332
563	9245.139947
564	9241.458872
565	9237.814945
566	9234.1779
567	9230.550011
568	9226.939394
569	9215.239222
570	9211.636
571	9208.050735
572	9204.482522
573	9181.821705
574	9178.232596
575	9174.620656
576	9171.065896
577	9162.706849
578	9123.658019
579	9120.09326
580	9116.517759
581	9091.246507
582	9087.685253
583	9075.448413
584	9055.300871
585	9005.919519
586	9002.376944
587	8993.134118
588	8989.623233
589	8986.143814
590	8977.818481
591	8965.636085
592	8955.84344
593	8922.672869
594	8919.189377
595	8903.064273
596	8889.362218
597	8885.895719
598	8875.325217
599	8858.095396
600	8854.6463
601	8837.739246
602	8820.742269
603	8805.093513
604	8781.828304
605	8778.385282
606	8774.97589
607	8733.603091
608	8729.86335
609	8725.132331
610	8697.972408
611	8678.268267
612	8652.603894
613	8642.421064
614	8624.986804
615	8621.57872
616	8597.584416
617	8584.568385
618	8581.199188
619	8577.869667
620	8572.254937
621	8568.892894
622	8562.031319
623	8538.259876
624	8534.960106
625	8506.599294
626	8476.571179
627	8452.386045
628	8423.726599
629	8420.417446
630	8417.135984
631	8402.354973
632	8389.414861
633	8368.531259
634	8365.215789
635	8361.967028
636	8343.144767
637	8336.478576
638	8333.233465
639	8330.021296
640	8308.251404
641	8303.92072
642	8300.711645
643	8272.277219
644	8268.999956
645	8265.80921
646	8262.596512
647	8259.438401
648	8244.566205
649	8226.584308
650	8223.053488
651	8211.395832
652	8208.203322
653	8205.074626
654	8181.315343
655	8168.834014
656	8161.130913
657	8139.016485
658	8135.888787
659	8132.737057
660	8111.019373
661	8099.823054
662	8096.726095
663	8078.234948
664	8060.83842
665	8057.767176
666	8050.627705
667	8047.554913
668	8044.504669
669	8024.823179
670	8021.783169
671	8001.150395
672	7998.098648
673	7995.026917
674	7983.85301
675	7980.828253
676	7962.653741
677	7959.638563
678	7940.790085
679	7937.777039
680	7934.740095
681	7926.310389
682	7923.327877
683	7908.646027
684	7905.659278
685	7902.263488
686	7877.251541
687	7874.268445
688	7871.30105
689	7857.894794
690	7838.178388
691	7824.139757
692	7816.11095
693	7797.731016
694	7782.896367
695	7762.303379
696	7759.3194
697	7756.360514
698	7753.386591
699	7750.471644
700	7745.298653
701	7742.397544
702	7712.628634
703	7709.721395
704	7679.483423
705	7666.183439
706	7650.315227
707	7647.403541
708	7631.085356
709	7608.370492
710	7580.787433
711	7577.864389
712	7562.899554
713	7560.046304
714	7542.724324
715	7539.867253
716	7524.442338
717	7521.626954
718	7504.349478
719	7478.908258
720	7476.067783
721	7473.288477
722	7454.177045
723	7439.1003
724	7425.937796
725	7410.482392
726	7407.697615
727	7398.972383
728	7396.181515
729	7373.593089
730	7370.399853
731	7358.454133
732	7341.402875
733	7328.597336
734	7320.562167
735	7308.090854
736	7305.325965
737	7302.623503
738	7299.893958
739	7291.242729
740	7288.519566
741	7285.8102
742	7259.257689
743	7244.971383
744	7231.138509
745	7203.632581
746	7201.05562
747	7198.358242
748	7186.424146
749	7183.740728
750	7168.012123
751	7155.854989
752	7145.345139
753	7137.430449
754	7121.485397
