iter	Passed	Remaining
0	66	66841
1	74	37188
2	81	27056
3	84	20941
4	90	18043
5	97	16074
6	108	15401
7	122	15187
8	129	14303
9	136	13479
10	143	12909
11	150	12351
12	163	12440
13	171	12055
14	177	11683
15	184	11330
16	192	11151
17	199	10880
18	209	10831
19	219	10735
20	225	10532
21	232	10327
22	239	10156
23	245	9993
24	258	10089
25	266	9997
26	273	9850
27	279	9713
28	286	9596
29	292	9471
30	301	9417
31	310	9403
32	317	9305
33	324	9208
34	330	9117
35	337	9032
36	340	8872
37	348	8826
38	356	8791
39	364	8737
40	370	8666
41	376	8596
42	383	8534
43	391	8506
44	401	8519
45	410	8519
46	417	8458
47	423	8399
48	430	8348
49	436	8293
50	460	8561
51	468	8536
52	475	8494
53	481	8439
54	488	8388
55	513	8659
56	521	8622
57	527	8569
58	533	8516
59	557	8728
60	564	8695
61	586	8866
62	607	9029
63	613	8968
64	619	8914
65	626	8860
66	640	8919
67	653	8955
68	659	8902
69	666	8850
70	672	8800
71	678	8750
72	702	8917
73	708	8866
74	714	8814
75	721	8767
76	727	8723
77	750	8867
78	756	8818
79	762	8770
80	769	8724
81	775	8679
82	798	8825
83	805	8782
84	811	8738
85	817	8691
86	824	8648
87	845	8758
88	851	8716
89	857	8673
90	864	8632
91	870	8592
92	890	8686
93	897	8645
94	903	8605
95	909	8568
96	916	8529
97	922	8491
98	931	8479
99	942	8485
100	949	8448
101	955	8411
102	961	8375
103	967	8337
104	990	8440
105	997	8415
106	1003	8378
107	1010	8343
108	1016	8308
109	1038	8405
110	1041	8340
111	1047	8305
112	1053	8270
113	1059	8237
114	1066	8204
115	1089	8300
116	1095	8267
117	1101	8235
118	1108	8205
119	1114	8173
120	1126	8182
121	1134	8166
122	1140	8134
123	1147	8103
124	1153	8075
125	1159	8046
126	1172	8058
127	1186	8083
128	1193	8059
129	1203	8053
130	1210	8033
131	1232	8104
132	1240	8089
133	1249	8075
134	1257	8059
135	1279	8126
136	1285	8097
137	1291	8069
138	1298	8042
139	1304	8013
140	1312	7997
141	1326	8015
142	1332	7986
143	1338	7959
144	1345	7933
145	1351	7906
146	1374	7977
147	1381	7951
148	1388	7928
149	1394	7901
150	1400	7875
151	1424	7945
152	1432	7931
153	1439	7910
154	1447	7892
155	1471	7960
156	1477	7934
157	1483	7908
158	1490	7883
159	1496	7858
160	1507	7855
161	1517	7850
162	1525	7832
163	1533	7815
164	1540	7797
165	1547	7774
166	1569	7829
167	1576	7805
168	1584	7789
169	1591	7768
170	1614	7825
171	1621	7803
172	1632	7805
173	1650	7837
174	1657	7812
175	1663	7789
176	1670	7765
177	1676	7741
178	1698	7792
179	1705	7767
180	1711	7744
181	1717	7720
182	1724	7697
183	1734	7694
184	1742	7678
185	1749	7654
186	1755	7632
187	1762	7610
188	1769	7594
189	1785	7611
190	1794	7601
191	1800	7579
192	1807	7557
193	1813	7534
194	1819	7512
195	1842	7557
196	1848	7535
197	1854	7513
198	1861	7492
199	1867	7470
200	1890	7516
201	1897	7494
202	1903	7472
203	1909	7451
204	1916	7430
205	1938	7472
206	1944	7451
207	1951	7429
208	1957	7409
209	1963	7388
210	1988	7434
211	1994	7412
212	2000	7391
213	2007	7371
214	2013	7351
215	2036	7391
216	2042	7370
217	2049	7350
218	2055	7329
219	2061	7309
220	2084	7348
221	2091	7328
222	2097	7307
223	2103	7288
224	2110	7267
225	2132	7304
226	2139	7284
227	2145	7263
228	2151	7244
229	2157	7224
230	2182	7265
231	2188	7245
232	2195	7226
233	2201	7206
234	2207	7186
235	2230	7222
236	2237	7202
237	2243	7183
238	2249	7163
239	2255	7143
240	2278	7176
241	2284	7156
242	2291	7137
243	2297	7118
244	2303	7099
245	2324	7126
246	2331	7106
247	2337	7087
248	2344	7069
249	2350	7050
250	2372	7078
251	2379	7062
252	2386	7044
253	2392	7026
254	2398	7008
255	2421	7038
256	2428	7019
257	2434	7001
258	2441	6984
259	2447	6965
260	2470	6993
261	2476	6975
262	2482	6957
263	2489	6939
264	2495	6921
265	2518	6948
266	2524	6930
267	2530	6912
268	2537	6895
269	2543	6877
270	2566	6903
271	2572	6886
272	2580	6872
273	2587	6855
274	2593	6837
275	2623	6883
276	2631	6868
277	2639	6854
278	2662	6879
279	2673	6873
280	2682	6863
281	2691	6851
282	2715	6878
283	2722	6864
284	2731	6851
285	2739	6838
286	2754	6842
287	2764	6833
288	2772	6821
289	2783	6815
290	2807	6841
291	2816	6828
292	2822	6811
293	2829	6794
294	2835	6777
295	2861	6804
296	2870	6794
297	2878	6780
298	2902	6804
299	2912	6796
300	2923	6788
301	2933	6779
302	2958	6805
303	2965	6789
304	2974	6776
305	3000	6804
306	3008	6790
307	3015	6774
308	3023	6760
309	3030	6745
310	3051	6760
311	3058	6745
312	3066	6730
313	3074	6716
314	3085	6710
315	3099	6707
316	3106	6694
317	3114	6679
318	3122	6664
319	3139	6671
320	3153	6670
321	3160	6655
322	3169	6642
323	3187	6650
324	3200	6647
325	3208	6633
326	3215	6618
327	3223	6603
328	3243	6614
329	3253	6605
330	3262	6594
331	3270	6580
332	3292	6593
333	3299	6579
334	3307	6565
335	3315	6553
336	3338	6567
337	3347	6556
338	3356	6544
339	3364	6531
340	3386	6543
341	3394	6531
342	3403	6519
343	3411	6505
344	3423	6499
345	3437	6496
346	3444	6481
347	3454	6472
348	3462	6459
349	3486	6474
350	3496	6464
351	3505	6454
352	3530	6470
353	3539	6459
354	3549	6449
355	3559	6439
356	3586	6458
357	3596	6450
358	3604	6435
359	3629	6451
360	3636	6437
361	3644	6423
362	3655	6414
363	3674	6420
364	3682	6406
365	3689	6391
366	3697	6377
367	3721	6390
368	3731	6380
369	3743	6373
370	3752	6362
371	3779	6380
372	3791	6373
373	3819	6393
